Accession,ID,Protein Name,Gene Names,Organism,Taxonomy ID,Length
A0A4R2H5H5,A0A4R2H5H5_9SPHI,O-succinylhomoserine sulfhydrylase,metZ,Pedobacter psychrotolerans,1843235,388
A0A4R2H5J3,A0A4R2H5J3_9SPHI,DNA 3'-5' helicase,,Pedobacter psychrotolerans,1843235,779
A0A4R2H629,A0A4R2H629_9SPHI,DNA polymerase IV,dinB,Pedobacter psychrotolerans,1843235,438
A0A4R2H662,A0A4R2H662_9SPHI,Endonuclease MutS2,mutS2,Pedobacter psychrotolerans,1843235,792
A0A4R2H6B9,A0A4R2H6B9_9SPHI,Phosphoribosylformylglycinamidine synthase,purL,Pedobacter psychrotolerans,1843235,1222
A0A4R2H6F7,A0A4R2H6F7_9SPHI,Alanine racemase,,Pedobacter psychrotolerans,1843235,820
A0A4R2H6Q2,A0A4R2H6Q2_9SPHI,Enolase,eno,Pedobacter psychrotolerans,1843235,426
A0A4R2H6Q6,A0A4R2H6Q6_9SPHI,Chromosome partition protein Smc,smc,Pedobacter psychrotolerans,1843235,1179
A0A4R2H6W9,A0A4R2H6W9_9SPHI,Galactokinase,galK,Pedobacter psychrotolerans,1843235,384
A0A4R2H6Z9,A0A4R2H6Z9_9SPHI,"Fructose-1,6-bisphosphatase class 1",fbp,Pedobacter psychrotolerans,1843235,355
A0A4R2H7J9,A0A4R2H7J9_9SPHI,"6-phosphogluconate dehydrogenase, decarboxylating",,Pedobacter psychrotolerans,1843235,471
A0A4R2H7T0,A0A4R2H7T0_9SPHI,Endonuclease V,nfi,Pedobacter psychrotolerans,1843235,232
A0A4R2H7X4,A0A4R2H7X4_9SPHI,tRNA modification GTPase MnmE,mnmE,Pedobacter psychrotolerans,1843235,452
A0A4R2H838,A0A4R2H838_9SPHI,Polyphosphate kinase,ppk,Pedobacter psychrotolerans,1843235,686
A0A4R2H8A3,A0A4R2H8A3_9SPHI,3-dehydroquinate dehydratase,aroQ,Pedobacter psychrotolerans,1843235,140
A0A4R2H8C0,A0A4R2H8C0_9SPHI,Alanine--tRNA ligase,alaS,Pedobacter psychrotolerans,1843235,897
A0A4R2H8C2,A0A4R2H8C2_9SPHI,DNA gyrase subunit A,gyrA,Pedobacter psychrotolerans,1843235,864
A0A4R2H8E8,A0A4R2H8E8_9SPHI,Galactokinase,galK,Pedobacter psychrotolerans,1843235,383
A0A4R2H8H9,A0A4R2H8H9_9SPHI,Phosphomethylpyrimidine synthase,thiC,Pedobacter psychrotolerans,1843235,627
A0A4R2H8L8,A0A4R2H8L8_9SPHI,Thiamine-phosphate synthase,thiE,Pedobacter psychrotolerans,1843235,214
A0A4R2H8P7,A0A4R2H8P7_9SPHI,CRISPR-associated endonuclease Cas9,cas9,Pedobacter psychrotolerans,1843235,1424
A0A4R2H990,A0A4R2H990_9SPHI,Shikimate kinase,aroK,Pedobacter psychrotolerans,1843235,167
A0A4R2H9B1,A0A4R2H9B1_9SPHI,Lipoyl synthase,lipA,Pedobacter psychrotolerans,1843235,297
A0A4R2H9D0,A0A4R2H9D0_9SPHI,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,ispH,Pedobacter psychrotolerans,1843235,282
A0A4R2H9D9,A0A4R2H9D9_9SPHI,Lipoprotein signal peptidase,lspA,Pedobacter psychrotolerans,1843235,200
A0A4R2H9E8,A0A4R2H9E8_9SPHI,Glycine dehydrogenase (decarboxylating),gcvP,Pedobacter psychrotolerans,1843235,970
A0A4R2H9H3,A0A4R2H9H3_9SPHI,Peptidyl-tRNA hydrolase,pth,Pedobacter psychrotolerans,1843235,186
A0A4R2H9H7,A0A4R2H9H7_9SPHI,Cytochrome c oxidase subunit 2,,Pedobacter psychrotolerans,1843235,411
A0A4R2H9J0,A0A4R2H9J0_9SPHI,Glutamine-dependent NAD(+) synthetase,nadE,Pedobacter psychrotolerans,1843235,546
A0A4R2H9J1,A0A4R2H9J1_9SPHI,Lipoprotein signal peptidase,lspA,Pedobacter psychrotolerans,1843235,168
A0A4R2H9N8,A0A4R2H9N8_9SPHI,Methionine synthase,,Pedobacter psychrotolerans,1843235,1238
A0A4R2H9P7,A0A4R2H9P7_9SPHI,Enoyl-[acyl-carrier-protein] reductase [NADH],fabV,Pedobacter psychrotolerans,1843235,397
A0A4R2H9Q1,A0A4R2H9Q1_9SPHI,Diaminopimelate decarboxylase,lysA,Pedobacter psychrotolerans,1843235,389
A0A4R2H9R3,A0A4R2H9R3_9SPHI,Ribonuclease HII,rnhB,Pedobacter psychrotolerans,1843235,202
A0A4R2H9W0,A0A4R2H9W0_9SPHI,Pantothenate synthetase,panC,Pedobacter psychrotolerans,1843235,281
A0A4R2H9W5,A0A4R2H9W5_9SPHI,Aspartate 1-decarboxylase,panD,Pedobacter psychrotolerans,1843235,116
A0A4R2H9W9,A0A4R2H9W9_9SPHI,Chromosomal replication initiator protein DnaA,dnaA,Pedobacter psychrotolerans,1843235,476
A0A4R2H9X5,A0A4R2H9X5_9SPHI,Uridylate kinase,pyrH,Pedobacter psychrotolerans,1843235,234
A0A4R2H9Y2,A0A4R2H9Y2_9SPHI,Holliday junction branch migration complex subunit RuvA,ruvA,Pedobacter psychrotolerans,1843235,194
A0A4R2HA15,A0A4R2HA15_9SPHI,Inosine-5'-monophosphate dehydrogenase,guaB,Pedobacter psychrotolerans,1843235,557
A0A4R2HA61,A0A4R2HA61_9SPHI,Diadenylate cyclase,dacA,Pedobacter psychrotolerans,1843235,263
A0A4R2HA64,A0A4R2HA64_9SPHI,GDP-L-fucose synthase,fcl,Pedobacter psychrotolerans,1843235,332
A0A4R2HA83,A0A4R2HA83_9SPHI,Pyridoxine 5'-phosphate synthase,pdxJ,Pedobacter psychrotolerans,1843235,238
A0A4R2HAB3,A0A4R2HAB3_9SPHI,Isoleucine--tRNA ligase,ileS,Pedobacter psychrotolerans,1843235,1133
A0A4R2HAC1,A0A4R2HAC1_9SPHI,Crossover junction endodeoxyribonuclease RuvC,ruvC,Pedobacter psychrotolerans,1843235,201
A0A4R2HAC9,A0A4R2HAC9_9SPHI,ATP synthase subunit b,atpF,Pedobacter psychrotolerans,1843235,164
A0A4R2HAF4,A0A4R2HAF4_9SPHI,N-acetylmuramic acid 6-phosphate etherase,murQ,Pedobacter psychrotolerans,1843235,268
A0A4R2HAG8,A0A4R2HAG8_9SPHI,Aminomethyltransferase,gcvT,Pedobacter psychrotolerans,1843235,359
A0A4R2HAL9,A0A4R2HAL9_9SPHI,Glutamine--fructose-6-phosphate aminotransferase [isomerizing],glmS,Pedobacter psychrotolerans,1843235,612
A0A4R2HBF0,A0A4R2HBF0_9SPHI,Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha,accA,Pedobacter psychrotolerans,1843235,320
A0A4R2HBI9,A0A4R2HBI9_9SPHI,Protoheme IX farnesyltransferase,ctaB,Pedobacter psychrotolerans,1843235,302
A0A4R2HBL3,A0A4R2HBL3_9SPHI,DNA topoisomerase 1,topA,Pedobacter psychrotolerans,1843235,854
A0A4R2HBM2,A0A4R2HBM2_9SPHI,Threonine--tRNA ligase,thrS,Pedobacter psychrotolerans,1843235,641
A0A4R2HBM9,A0A4R2HBM9_9SPHI,N5-carboxyaminoimidazole ribonucleotide synthase,purK,Pedobacter psychrotolerans,1843235,379
A0A4R2HBN5,A0A4R2HBN5_9SPHI,Glycerol kinase,glpK,Pedobacter psychrotolerans,1843235,497
A0A4R2HBN9,A0A4R2HBN9_9SPHI,Epoxyqueuosine reductase,queG,Pedobacter psychrotolerans,1843235,327
A0A4R2HBR3,A0A4R2HBR3_9SPHI,Polyribonucleotide nucleotidyltransferase,pnp,Pedobacter psychrotolerans,1843235,711
A0A4R2HBS9,A0A4R2HBS9_9SPHI,Replicative DNA helicase,,Pedobacter psychrotolerans,1843235,520
A0A4R2HBT1,A0A4R2HBT1_9SPHI,tRNA dimethylallyltransferase,miaA,Pedobacter psychrotolerans,1843235,308
A0A4R2HBZ7,A0A4R2HBZ7_9SPHI,Protein-L-isoaspartate O-methyltransferase,pcm,Pedobacter psychrotolerans,1843235,218
A0A4R2HC08,A0A4R2HC08_9SPHI,7-carboxy-7-deazaguanine synthase,queE,Pedobacter psychrotolerans,1843235,207
A0A4R2HC25,A0A4R2HC25_9SPHI,Adenylyl-sulfate kinase,cysC,Pedobacter psychrotolerans,1843235,192
A0A4R2HC77,A0A4R2HC77_9SPHI,3-phosphoshikimate 1-carboxyvinyltransferase,aroA,Pedobacter psychrotolerans,1843235,422
A0A4R2HC88,A0A4R2HC88_9SPHI,Polyphosphate kinase,ppk,Pedobacter psychrotolerans,1843235,680
A0A4R2HC97,A0A4R2HC97_9SPHI,Chorismate synthase,aroC,Pedobacter psychrotolerans,1843235,365
A0A4R2HCE6,A0A4R2HCE6_9SPHI,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,murA,Pedobacter psychrotolerans,1843235,452
A0A4R2HCL4,A0A4R2HCL4_9SPHI,DNA helicase RecQ,,Pedobacter psychrotolerans,1843235,729
A0A4R2HCS1,A0A4R2HCS1_9SPHI,Cysteine desulfurase IscS,iscS,Pedobacter psychrotolerans,1843235,403
A0A4R2HCS2,A0A4R2HCS2_9SPHI,Pyridoxine/pyridoxamine 5'-phosphate oxidase,pdxH,Pedobacter psychrotolerans,1843235,216
A0A4R2HD13,A0A4R2HD13_9SPHI,Primosomal protein N',priA,Pedobacter psychrotolerans,1843235,826
A0A4R2HDF8,A0A4R2HDF8_9SPHI,ATP synthase subunit alpha,atpA,Pedobacter psychrotolerans,1843235,524
A0A4R2HDH6,A0A4R2HDH6_9SPHI,,,Pedobacter psychrotolerans,1843235,816
A0A4R2HDZ1,A0A4R2HDZ1_9SPHI,Phosphoserine aminotransferase,serC,Pedobacter psychrotolerans,1843235,357
A0A4R2HDZ5,A0A4R2HDZ5_9SPHI,Bifunctional protein FolD,folD,Pedobacter psychrotolerans,1843235,293
A0A4R2HE98,A0A4R2HE98_9SPHI,Serine hydroxymethyltransferase,glyA,Pedobacter psychrotolerans,1843235,423
A0A4R2HEF5,A0A4R2HEF5_9SPHI,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",ispF,Pedobacter psychrotolerans,1843235,159
A0A4R2HEG7,A0A4R2HEG7_9SPHI,Phosphoenolpyruvate carboxykinase (ATP),pckA,Pedobacter psychrotolerans,1843235,524
A0A4R2HEK7,A0A4R2HEK7_9SPHI,Anhydro-N-acetylmuramic acid kinase,anmK,Pedobacter psychrotolerans,1843235,398
A0A4R2HEM6,A0A4R2HEM6_9SPHI,Aspartate--tRNA ligase,aspS,Pedobacter psychrotolerans,1843235,581
A0A4R2HEP1,A0A4R2HEP1_9SPHI,Chaperonin GroEL,groEL,Pedobacter psychrotolerans,1843235,544
A0A4R2HEQ3,A0A4R2HEQ3_9SPHI,NADH-quinone oxidoreductase subunit N,nuoN,Pedobacter psychrotolerans,1843235,457
A0A4R2HEQ4,A0A4R2HEQ4_9SPHI,Glutamate--tRNA ligase,gltX,Pedobacter psychrotolerans,1843235,502
A0A4R2HET1,A0A4R2HET1_9SPHI,D-alanyl-D-alanine dipeptidase,,Pedobacter psychrotolerans,1843235,225
A0A4R2HEV3,A0A4R2HEV3_9SPHI,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase,metE,Pedobacter psychrotolerans,1843235,777
A0A4R2HF11,A0A4R2HF11_9SPHI,Methionine--tRNA ligase,metG,Pedobacter psychrotolerans,1843235,702
A0A4R2HF12,A0A4R2HF12_9SPHI,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase,murF,Pedobacter psychrotolerans,1843235,432
A0A4R2HF63,A0A4R2HF63_9SPHI,ATP-dependent zinc metalloprotease FtsH,ftsH,Pedobacter psychrotolerans,1843235,702
A0A4R2HFA1,A0A4R2HFA1_9SPHI,Type III pantothenate kinase,coaX,Pedobacter psychrotolerans,1843235,244
A0A4R2HFC3,A0A4R2HFC3_9SPHI,NADH-quinone oxidoreductase subunit I,nuoI,Pedobacter psychrotolerans,1843235,167
A0A4R2HFD7,A0A4R2HFD7_9SPHI,S-adenosylmethionine synthase,metK,Pedobacter psychrotolerans,1843235,416
A0A4R2HFI4,A0A4R2HFI4_9SPHI,1-deoxy-D-xylulose-5-phosphate synthase,dxs,Pedobacter psychrotolerans,1843235,642
A0A4R2HFM4,A0A4R2HFM4_9SPHI,tRNA-specific 2-thiouridylase MnmA,mnmA,Pedobacter psychrotolerans,1843235,363
A0A4R2HFP1,A0A4R2HFP1_9SPHI,Multifunctional fusion protein,fabZ,Pedobacter psychrotolerans,1843235,471
A0A4R2HFQ0,A0A4R2HFQ0_9SPHI,NADH-quinone oxidoreductase subunit A,nuoA,Pedobacter psychrotolerans,1843235,123
A0A4R2HFV2,A0A4R2HFV2_9SPHI,GTP cyclohydrolase 1,folE,Pedobacter psychrotolerans,1843235,211
A0A4R2HFV4,A0A4R2HFV4_9SPHI,Phosphatidylserine decarboxylase proenzyme,psd,Pedobacter psychrotolerans,1843235,219
A0A4R2HFW2,A0A4R2HFW2_9SPHI,Glutamate 5-kinase,proB,Pedobacter psychrotolerans,1843235,359
A0A4R2HGE3,A0A4R2HGE3_9SPHI,"dTDP-4-dehydrorhamnose 3,5-epimerase",,Pedobacter psychrotolerans,1843235,182
A0A4R2HGH6,A0A4R2HGH6_9SPHI,GDP-L-fucose synthase,fcl,Pedobacter psychrotolerans,1843235,308
A0A4R2HGK6,A0A4R2HGK6_9SPHI,Succinate--CoA ligase [ADP-forming] subunit beta,sucC,Pedobacter psychrotolerans,1843235,399
A0A4R2HGW8,A0A4R2HGW8_9SPHI,NADH-quinone oxidoreductase subunit H,nuoH,Pedobacter psychrotolerans,1843235,345
A0A4R2HHB1,A0A4R2HHB1_9SPHI,Hypoxanthine phosphoribosyltransferase,,Pedobacter psychrotolerans,1843235,180
A0A4R2HHC3,A0A4R2HHC3_9SPHI,Signal recognition particle protein,ffh,Pedobacter psychrotolerans,1843235,446
A0A4R2HHF9,A0A4R2HHF9_9SPHI,Putative K(+)-stimulated pyrophosphate-energized sodium pump,hppA,Pedobacter psychrotolerans,1843235,748
A0A4R2HHG4,A0A4R2HHG4_9SPHI,NAD kinase,nadK,Pedobacter psychrotolerans,1843235,293
A0A4R2HHK1,A0A4R2HHK1_9SPHI,UvrABC system protein B,uvrB,Pedobacter psychrotolerans,1843235,680
A0A4R2HHR8,A0A4R2HHR8_9SPHI,4-hydroxy-tetrahydrodipicolinate reductase,dapB,Pedobacter psychrotolerans,1843235,244
A0A4R2HHU2,A0A4R2HHU2_9SPHI,FMN dependent NADH:quinone oxidoreductase,azoR,Pedobacter psychrotolerans,1843235,199
A0A4R2HI43,A0A4R2HI43_9SPHI,Signal recognition particle receptor FtsY,ftsY,Pedobacter psychrotolerans,1843235,320
A0A4R2HI74,A0A4R2HI74_9SPHI,"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase",gpmA,Pedobacter psychrotolerans,1843235,270
A0A4R2HI78,A0A4R2HI78_9SPHI,3-methyl-2-oxobutanoate hydroxymethyltransferase,panB,Pedobacter psychrotolerans,1843235,271
A0A4R2HIA7,A0A4R2HIA7_9SPHI,Enolase,eno,Pedobacter psychrotolerans,1843235,472
A0A4R2HIA9,A0A4R2HIA9_9SPHI,Ribosomal protein uS12 methylthiotransferase RimO,rimO,Pedobacter psychrotolerans,1843235,443
A0A4R2HIE1,A0A4R2HIE1_9SPHI,GDP-L-fucose synthase,fcl,Pedobacter psychrotolerans,1843235,316
A0A4R2HIG5,A0A4R2HIG5_9SPHI,Methionine aminopeptidase,map,Pedobacter psychrotolerans,1843235,242
A0A4R2HIJ6,A0A4R2HIJ6_9SPHI,NADH-quinone oxidoreductase subunit K,nuoK,Pedobacter psychrotolerans,1843235,109
A0A4R2HIK1,A0A4R2HIK1_9SPHI,Adenosylhomocysteinase,ahcY,Pedobacter psychrotolerans,1843235,438
A0A4R2HIK2,A0A4R2HIK2_9SPHI,NADH-quinone oxidoreductase subunit B,nuoB,Pedobacter psychrotolerans,1843235,195
A0A4R2HIR3,A0A4R2HIR3_9SPHI,Ribosomal RNA small subunit methyltransferase A,rsmA,Pedobacter psychrotolerans,1843235,261
A0A4R2HIW8,A0A4R2HIW8_9SPHI,2-amino-3-ketobutyrate coenzyme A ligase,kbl,Pedobacter psychrotolerans,1843235,395
A0A4R2HIX4,A0A4R2HIX4_9SPHI,Diaminopimelate epimerase,dapF,Pedobacter psychrotolerans,1843235,286
A0A4R2HIY6,A0A4R2HIY6_9SPHI,DNA-directed RNA polymerase subunit alpha,rpoA,Pedobacter psychrotolerans,1843235,330
A0A4R2HJ05,A0A4R2HJ05_9SPHI,tRNA pseudouridine synthase A,truA,Pedobacter psychrotolerans,1843235,258
A0A4R2HJ80,A0A4R2HJ80_9SPHI,UDP-N-acetylenolpyruvoylglucosamine reductase,murB,Pedobacter psychrotolerans,1843235,338
A0A4R2HJF2,A0A4R2HJF2_9SPHI,Thiamine-phosphate synthase,thiE,Pedobacter psychrotolerans,1843235,210
A0A4R2HJF8,A0A4R2HJF8_9SPHI,Acetylglutamate kinase,argB,Pedobacter psychrotolerans,1843235,276
A0A4R2HJJ3,A0A4R2HJJ3_9SPHI,Beta-ketoacyl-[acyl-carrier-protein] synthase III,fabH,Pedobacter psychrotolerans,1843235,348
A0A4R2HJL4,A0A4R2HJL4_9SPHI,Phosphate acyltransferase,plsX,Pedobacter psychrotolerans,1843235,306
A0A4R2HJM9,A0A4R2HJM9_9SPHI,N-succinylornithine carbamoyltransferase,argF',Pedobacter psychrotolerans,1843235,324
A0A4R2HJT6,A0A4R2HJT6_9SPHI,Energy-dependent translational throttle protein EttA,ettA,Pedobacter psychrotolerans,1843235,559
A0A4R2HJV7,A0A4R2HJV7_9SPHI,Glucose-6-phosphate isomerase,pgi,Pedobacter psychrotolerans,1843235,548
A0A4R2HJX7,A0A4R2HJX7_9SPHI,D-aminoacyl-tRNA deacylase,dtd,Pedobacter psychrotolerans,1843235,150
A0A4R2HJY6,A0A4R2HJY6_9SPHI,Carbamoyl phosphate synthase small chain,carA,Pedobacter psychrotolerans,1843235,370
A0A4R2HKA9,A0A4R2HKA9_9SPHI,4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase,kduI,Pedobacter psychrotolerans,1843235,279
A0A4R2HKR0,A0A4R2HKR0_9SPHI,Undecaprenyl-diphosphatase,uppP,Pedobacter psychrotolerans,1843235,264
A0A4R2HKR8,A0A4R2HKR8_9SPHI,Porphobilinogen deaminase,hemC,Pedobacter psychrotolerans,1843235,529
A0A4R2HKT8,A0A4R2HKT8_9SPHI,Protein translocase subunit SecA,secA,Pedobacter psychrotolerans,1843235,1100
A0A4R2HKU8,A0A4R2HKU8_9SPHI,Ketol-acid reductoisomerase (NADP(+)),ilvC,Pedobacter psychrotolerans,1843235,493
A0A4R2HKY5,A0A4R2HKY5_9SPHI,Glutamyl-tRNA reductase,hemA,Pedobacter psychrotolerans,1843235,408
A0A4R2HKZ2,A0A4R2HKZ2_9SPHI,Protoporphyrinogen IX oxidase,,Pedobacter psychrotolerans,1843235,185
A0A4R2HL03,A0A4R2HL03_9SPHI,3-isopropylmalate dehydratase large subunit,leuC,Pedobacter psychrotolerans,1843235,468
A0A4R2HL17,A0A4R2HL17_9SPHI,Catalase,,Pedobacter psychrotolerans,1843235,730
A0A4R2HL21,A0A4R2HL21_9SPHI,ATP-dependent DNA helicase RecG,,Pedobacter psychrotolerans,1843235,701
A0A4R2HL59,A0A4R2HL59_9SPHI,Cell division protein FtsZ,ftsZ,Pedobacter psychrotolerans,1843235,537
A0A4R2HL67,A0A4R2HL67_9SPHI,Phospho-N-acetylmuramoyl-pentapeptide-transferase,mraY,Pedobacter psychrotolerans,1843235,415
A0A4R2HL98,A0A4R2HL98_9SPHI,UDP-N-acetylmuramoylalanine--D-glutamate ligase,murD,Pedobacter psychrotolerans,1843235,464
A0A4R2HLB8,A0A4R2HLB8_9SPHI,3-isopropylmalate dehydrogenase,leuB,Pedobacter psychrotolerans,1843235,370
A0A4R2HLF9,A0A4R2HLF9_9SPHI,DNA-directed RNA polymerase subunit beta',rpoC,Pedobacter psychrotolerans,1843235,1428
A0A4R2HLH0,A0A4R2HLH0_9SPHI,tRNA pseudouridine synthase A,truA,Pedobacter psychrotolerans,1843235,266
A0A4R2HLJ7,A0A4R2HLJ7_9SPHI,Phosphoenolpyruvate carboxykinase (ATP),pckA,Pedobacter psychrotolerans,1843235,530
A0A4R2HLM4,A0A4R2HLM4_9SPHI,Imidazole glycerol phosphate synthase subunit HisF,hisF,Pedobacter psychrotolerans,1843235,251
A0A4R2HLN4,A0A4R2HLN4_9SPHI,Imidazole glycerol phosphate synthase subunit HisH,hisH,Pedobacter psychrotolerans,1843235,197
A0A4R2HLP3,A0A4R2HLP3_9SPHI,DNA-directed RNA polymerase subunit beta,rpoB,Pedobacter psychrotolerans,1843235,1267
A0A4R2HLQ8,A0A4R2HLQ8_9SPHI,Uroporphyrinogen decarboxylase,hemE,Pedobacter psychrotolerans,1843235,341
A0A4R2HLS5,A0A4R2HLS5_9SPHI,UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase,murG,Pedobacter psychrotolerans,1843235,367
A0A4R2HLT3,A0A4R2HLT3_9SPHI,Histidine biosynthesis bifunctional protein HisB,hisB,Pedobacter psychrotolerans,1843235,377
A0A4R2HLU3,A0A4R2HLU3_9SPHI,"1,4-alpha-glucan branching enzyme GlgB",glgB,Pedobacter psychrotolerans,1843235,653
A0A4R2HLX1,A0A4R2HLX1_9SPHI,DNA polymerase III subunit gamma/tau,dnaX,Pedobacter psychrotolerans,1843235,596
A0A4R2HM88,A0A4R2HM88_9SPHI,Tyrosine--tRNA ligase,tyrS,Pedobacter psychrotolerans,1843235,428
A0A4R2HM96,A0A4R2HM96_9SPHI,Ribose-5-phosphate isomerase A,rpiA,Pedobacter psychrotolerans,1843235,229
A0A4R2HMA7,A0A4R2HMA7_9SPHI,Orotate phosphoribosyltransferase,pyrE,Pedobacter psychrotolerans,1843235,216
A0A4R2HMJ0,A0A4R2HMJ0_9SPHI,DNA ligase,ligA,Pedobacter psychrotolerans,1843235,661
A0A4R2HMK0,A0A4R2HMK0_9SPHI,DNA gyrase subunit B,gyrB,Pedobacter psychrotolerans,1843235,652
A0A4R2HMZ6,A0A4R2HMZ6_9SPHI,Histidinol dehydrogenase,hisD,Pedobacter psychrotolerans,1843235,427
A0A4R2HMZ8,A0A4R2HMZ8_9SPHI,Adenosine 5'-phosphosulfate reductase,cysH,Pedobacter psychrotolerans,1843235,241
A0A4R2HN07,A0A4R2HN07_9SPHI,1-deoxy-D-xylulose 5-phosphate reductoisomerase,dxr,Pedobacter psychrotolerans,1843235,386
A0A4R2HN27,A0A4R2HN27_9SPHI,Ribonuclease 3,rnc,Pedobacter psychrotolerans,1843235,242
A0A4R2HN94,A0A4R2HN94_9SPHI,Endonuclease III,nth,Pedobacter psychrotolerans,1843235,224
A0A4R2HNA6,A0A4R2HNA6_9SPHI,ATP-dependent Clp protease ATP-binding subunit ClpX,clpX,Pedobacter psychrotolerans,1843235,413
